#time	node	distance
0	180	197.23083
1	205	188.67963
2	230	180.27756
3	255	172.04651
4	280	164.0122
5	305	156.205
6	330	148.66069
7	355	141.42136
8	380	134.53624
9	381	127.27922
10	382	120.41595
11	407	113.137085
12	408	106.30146
13	409	100.0
14	434	92.19544
15	459	84.85281
16	458	92.19544
17	483	86.023254
18	484	78.1025
19	485	70.71068
20	486	64.03124
21	461	72.11102
22	462	67.08204
23	463	63.245552
24	488	53.851646
25	513	44.72136
26	538	36.05551
27	563	28.284271
28	564	22.36068
29	589	14.142136
30	590	10.0
31	615	0.0
